i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
1000-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1.386294361
1000-001-02,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1000-001-03,2020-21,Mainland Rural,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1.791759469
1000-001-06,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
1001-001-01,2020-21,Mainland Rural,1,0,0,1,0,0,2,0,1,1,1,1,0,0,2.079441542
1002-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
1003-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.098612289
1005-001-01,2020-21,Mainland Rural,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1.791759469
1006-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.386294361
1006-001-03,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1006-001-04,2020-21,Mainland Rural,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
1006-001-05,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1007-001-01,2020-21,Mainland Rural,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912
1009-001-01,2020-21,Mainland Rural,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1.386294361
1019-001-01,2020-21,Mainland Other Urban,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.098612289
1020-001-01,2020-21,Mainland Other Urban,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
1021-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1022-001-01,2020-21,Mainland Other Urban,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1.791759469
1023-001-01,2020-21,Mainland Other Urban,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
1024-001-01,2020-21,Mainland Other Urban,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1025-001-02,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1038-001-02,2020-21,Mainland Other Urban,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1.386294361
1039-001-01,2020-21,Mainland Other Urban,0,0,1,0,0,0,2,0,0,0,1,1,0,0,1.609437912
1041-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1042-001-01,2020-21,Mainland Other Urban,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1042-001-02,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1043-001-01,2020-21,Mainland Other Urban,0,1,0,1,2,0,0,1,0,1,1,1,0,0,2.079441542
1044-001-01,2020-21,Mainland Other Urban,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1.098612289
1045-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6931471806
1058-001-01,2020-21,Mainland Rural,2,0,1,2,0,0,0,0,0,1,1,0,0,0,1.945910149
1059-001-01,2020-21,Mainland Rural,1,2,2,2,1,0,0,2,1,1,0,1,1,1,2.708050201
1059-001-03,2020-21,Mainland Rural,1,4,3,0,1,0,0,1,0,2,0,1,0,0,2.564949357
1059-001-06,2020-21,Mainland Rural,1,1,1,1,1,1,0,2,2,2,0,0,0,1,2.564949357
1060-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.098612289
1061-001-03,2020-21,Mainland Rural,1,0,2,1,1,0,0,0,1,1,0,1,0,0,2.079441542
1062-001-01,2020-21,Mainland Rural,1,0,1,1,0,2,1,0,0,0,0,1,1,0,2.079441542
1063-001-01,2020-21,Mainland Rural,1,0,2,2,1,1,2,0,0,0,0,2,1,1,2.564949357
1064-001-01,2020-21,Mainland Rural,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1.098612289
1076-001-01,2020-21,Mainland Rural,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1.386294361
1077-001-01,2020-21,Mainland Rural,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1.791759469
1078-001-01,2020-21,Mainland Rural,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1.945910149
1079-001-01,2020-21,Mainland Rural,0,0,0,0,2,0,1,0,1,1,0,1,1,0,1.945910149
1080-001-01,2020-21,Mainland Rural,1,0,1,2,0,1,0,0,0,1,1,0,0,0,1.945910149
1081-001-01,2020-21,Mainland Rural,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912
1082-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.098612289
1083-001-01,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1.386294361
1095-001-01,2020-21,Mainland Rural,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1.791759469
1096-001-01,2020-21,Mainland Rural,1,1,0,1,2,0,0,0,0,0,0,1,1,0,1.945910149
1096-001-03,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1097-001-01,2020-21,Mainland Rural,1,0,2,0,2,1,1,0,1,0,0,1,0,0,2.197224577
1097-001-02,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.098612289
1097-001-04,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
1098-001-01,2020-21,Mainland Rural,1,1,2,1,1,0,0,0,0,0,0,1,0,0,1.945910149
1099-001-01,2020-21,Mainland Rural,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1.386294361
1100-001-01,2020-21,Mainland Rural,1,0,2,1,1,1,0,0,0,0,0,1,0,0,1.945910149
1102-001-01,2020-21,Mainland Rural,1,0,0,1,1,2,0,0,0,0,0,1,0,0,1.791759469
1114-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
1114-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1116-001-01,2020-21,Dar Es Salaam,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1.791759469
1118-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1.386294361
1119-001-02,2020-21,Dar Es Salaam,0,0,0,1,0,1,2,0,1,2,2,1,1,0,2.397895273
1120-001-02,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.098612289
1122-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1.098612289
1134-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1134-001-03,2020-21,Dar Es Salaam,1,1,0,0,0,0,0,0,2,1,1,2,0,0,2.079441542
1135-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.098612289
1140-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1.386294361
1140-001-03,2020-21,Dar Es Salaam,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
1142-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1.386294361
1152-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1154-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1155-001-01,2020-21,Dar Es Salaam,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1.609437912
1158-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1158-001-02,2020-21,Dar Es Salaam,0,0,0,0,2,0,0,0,0,0,2,1,1,0,1.791759469
1159-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1162-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1.386294361
1171-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.098612289
1172-001-03,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1173-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6931471806
1174-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1177-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,0,0,1,0,1,0,0,0,2,1.791759469
1177-001-03,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
1179-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.386294361
1179-001-02,2020-21,Dar Es Salaam,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
1179-001-06,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1191-001-01,2020-21,Dar Es Salaam,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1.945910149
1192-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1.386294361
1193-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1.791759469
1194-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1.609437912
1194-001-04,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
1195-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1.098612289
1196-001-01,2020-21,Dar Es Salaam,1,1,0,0,0,0,1,0,2,1,0,0,1,1,2.079441542
1196-001-04,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1198-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,2,0,0,0,1,0,1,1,0,1.791759469
1201-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1.791759469
1209-001-01,2020-21,Dar Es Salaam,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1.791759469
1210-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1.945910149
1212-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1.609437912
1213-001-01,2020-21,Dar Es Salaam,1,0,0,0,0,0,1,0,0,2,0,0,1,0,1.609437912
1215-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
1217-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1.386294361
1229-001-01,2020-21,Dar Es Salaam,0,1,2,0,0,0,0,0,0,2,1,1,0,0,1.945910149
1230-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361
1232-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,2,0,1,3,1,0,1,1,0,2.197224577
1232-001-03,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1232-001-04,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1233-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,2,1,0,1,1,0,1.791759469
1235-001-02,2020-21,Dar Es Salaam,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1.386294361
1236-001-01,2020-21,Dar Es Salaam,0,1,0,2,0,1,0,0,0,0,1,1,0,0,1.791759469
1236-001-04,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806
1239-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.098612289
1239-001-02,2020-21,Dar Es Salaam,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1.098612289
1247-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1.791759469
1248-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
1249-001-01,2020-21,Dar Es Salaam,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1.386294361
1250-001-01,2020-21,Dar Es Salaam,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1.386294361
1252-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1.609437912
1253-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1.386294361
1254-001-01,2020-21,Dar Es Salaam,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1.945910149
1266-001-02,2020-21,Dar Es Salaam,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1.609437912
1268-001-01,2020-21,Dar Es Salaam,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1.945910149
1269-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1.609437912
